date,pre_close,open,high,low,close,volume,amt,pct_chg
2005/1/4,1000,994.769,994.769,980.658,982.794,741286894,4431977418,-1.7206
2005/1/5,982.794,981.577,997.323,979.877,992.564,711910898,4529208214,0.9941
2005/1/6,992.564,993.331,993.788,980.33,983.174,628802905,3921015420,-0.946
2005/1/7,983.174,983.045,995.711,979.812,983.958,729869409,4737469399,0.0797
2005/1/10,983.958,983.76,993.959,979.789,993.879,579169799,3762932890,1.0083
2005/1/11,993.879,994.189,999.554,991.092,997.135,584907998,3704076709,0.3276
2005/1/12,997.135,996.651,996.976,989.257,996.748,501452509,3093299668,-0.0388
2005/1/13,996.748,996.078,999.473,992.695,996.877,604406584,3842173302,0.0129
2005/1/14,996.877,996.617,1006.463,987.233,988.306,729784238,4162921211,-0.8598
2005/1/17,988.306,979.111,981.525,965.078,967.452,728818876,4249807837,-2.1101
2005/1/18,967.452,967.374,974.872,960.293,974.689,731184782,4117944082,0.748
2005/1/19,974.689,974.333,974.333,965.258,967.21,633809119,3427951271,-0.7673
2005/1/20,967.21,963.213,963.213,952.23,956.245,772710670,4399350604,-1.1337
2005/1/21,956.245,954.462,984.274,943.439,982.604,1445005985,8152086067,2.7565
2005/1/24,982.604,1001.854,1001.854,986.239,998.133,1435946161,8360161498,1.5804
2005/1/25,998.133,995.637,997.951,985.237,997.775,986252911,6157022374,-0.0359
2005/1/26,997.775,995.78,999.474,988.475,989.928,766329017,4719440425,-0.7864
2005/1/27,989.928,987.342,987.702,973.771,974.631,694536497,4094398877,-1.5453
2005/1/28,974.631,974.631,975.624,965.209,969.209,574880738,3280950331,-0.5563
2005/1/31,969.209,965.785,965.785,953.142,954.879,678870643,3863573594,-1.4785
2005/2/1,954.879,953.33,965.477,952.741,955.951,743306676,4275706846,0.1123
2005/2/2,955.951,956.701,1006.932,956.701,1006.913,1705733857,10202904264,5.331
2005/2/3,1006.913,1005.563,1014.187,992.155,993.215,1697453933,10057310335,-1.3604
2005/2/4,993.215,992.25,1021.025,989.939,1016.858,1573621461,9549870633,2.3805
2005/2/16,1016.858,1023.324,1033.248,1018.487,1023.584,1213129305,7438168198,0.6614
2005/2/17,1023.584,1024.43,1024.43,1010.476,1020.606,896829766,5513063259,-0.2909
2005/2/18,1020.606,1020.122,1021.199,1005.631,1006.055,813993936,4817732089,-1.4257
2005/2/21,1006.055,1006.693,1025.656,1006.693,1025.633,988609416,6052394872,1.946
2005/2/22,1025.633,1026.837,1048.678,1024.527,1046.744,1793784231,10922776830,2.0583
2005/2/23,1046.744,1046.812,1049.609,1036.625,1043.944,1869692971,11231940742,-0.2675
2005/2/24,1043.944,1042.253,1045.958,1034.731,1045.46,1468178853,8993752186,0.1452
2005/2/25,1045.46,1046.274,1059.483,1045.982,1046.761,1817000338,11489961151,0.1244
2005/2/28,1046.761,1046.206,1048.278,1035.039,1039.989,1297104604,8190101348,-0.6469
2005/3/1,1039.989,1039.351,1042.737,1031.168,1035.934,996209016,6288790666,-0.3899
2005/3/2,1035.934,1036.368,1045.76,1021.004,1021.32,1422513553,8971307887,-1.4107
2005/3/3,1021.32,1019.876,1028.402,1014.752,1027.71,920308564,5582811955,0.6257
2005/3/4,1027.71,1027.927,1031.847,1022.176,1023.667,817364167,5383868109,-0.3934
2005/3/7,1023.667,1024.48,1031.344,1024.48,1029.871,793294979,5316473234,0.6061
2005/3/8,1029.871,1033.786,1049.287,1032.85,1048.987,1429579380,9851274640,1.8562
2005/3/9,1048.987,1051.26,1054.64,1041.982,1046.544,1532748839,9877624291,-0.2329
2005/3/10,1046.544,1046.692,1046.692,1019.634,1022.413,1329595333,8380547671,-2.3058
2005/3/11,1022.413,1021.084,1028.119,1016.931,1027.429,1147638146,7654557046,0.4906
2005/3/14,1027.429,1027.175,1041.573,1014.925,1031.026,1446608937,10229428920,0.3501
2005/3/15,1031.026,1030.857,1030.943,1011.641,1013.523,1200749274,8091209214,-1.6976
2005/3/16,1013.523,1011.85,1012.198,995.967,1003.065,1062278283,7153745871,-1.0318
2005/3/17,1003.065,1001.968,1004.821,992.124,992.863,996901108,6535061285,-1.0171
2005/3/18,992.863,991.887,996.396,975.705,978.665,965205964,6314991217,-1.43
2005/3/21,978.665,977.296,983.178,973.001,981.893,725256485,4594519993,0.3298
2005/3/22,981.893,981.707,982.138,959.563,964.024,1137571722,6955307694,-1.8199
2005/3/23,964.024,962.816,975.362,955.993,959.01,1093005354,7092055433,-0.5201
2005/3/24,959.01,957.43,965.06,948.53,964.801,926071493,6446642565,0.6039
2005/3/25,964.801,964.245,966.97,959.057,962.955,710732285,4258127223,-0.1913
2005/3/28,962.955,961.652,961.652,948.806,960.696,666924600,4141656397,-0.2346
2005/3/29,960.696,960.419,968.119,954.744,955.19,757737892,4842151125,-0.5731
2005/3/30,955.19,952.713,952.713,936.375,937.034,895016409,5459378777,-1.9008
2005/3/31,937.034,934.848,942.365,928.335,942.203,785944597,4555322825,0.5516
2005/4/1,942.203,941.431,989.902,937.55,978.145,1634750474,10109402829,3.8147
2005/4/4,978.145,968.49,974.064,956.128,962.168,1143509329,7296500041,-1.6334
2005/4/5,962.168,960.54,967.746,953.586,955.598,953453690,6069513997,-0.6828
2005/4/6,955.598,955.598,977.855,948.948,973.668,1428242115,9727656052,1.891
2005/4/7,973.668,975.97,1000.266,974.309,984.733,2075421198,13260560596,1.1364
2005/4/8,984.733,984.665,1003.699,979.529,1003.445,1476252600,9151349808,1.9002
2005/4/11,1003.445,1003.879,1008.735,992.773,995.421,1593606600,10436232248,-0.7996
2005/4/12,995.421,993.711,993.711,978.204,978.697,1022619300,6479563495,-1.6801
2005/4/13,978.697,987.95,1006.499,987.95,1000.9,1607168700,10029602129,2.2686
2005/4/14,1000.9,1004.64,1006.416,985.578,986.975,1294571000,7813424514,-1.3912
